GEO_CODE,name,GEO_TYPE,GEO_TYP2,population,Population (usual residents) : All dependent children in households - Unit : Persons,Population (usual residents) : Schoolchild or full-time student aged 4 and over at their non-term-time address - Unit : Persons,Population (usual residents) : Density (number of persons per Hectare) - Unit : Persons,Population (usual residents) : All usual residents in households - Unit : Persons,Population (usual residents) : All usual residents in communal establishments (including people enumerated as sleeping rough) - Unit : Persons,Population (usual residents) : All usual residents in communal establishments - Unit : Persons,Population (usual residents) : All households - Unit : Households,Population (usual residents) : All communal establishments - Unit : Communal establishments,Population (usual residents) : Area (Hectares) - Unit : Hectares
95AA,Antrim,Local Authorities,LA,53428,,504,1.27,52540,888,888,20064,,42054
95BB,Ards,Local Authorities,LA,78078,,750,2.07,77483,595,595,31514,,37721
95CC,Armagh,Local Authorities,LA,59340,,949,0.89,58638,702,702,21594,,66831
95DD,Ballymena,Local Authorities,LA,64044,,720,1.02,63403,641,641,24817,,62978
95EE,Ballymoney,Local Authorities,LA,31224,,374,0.75,31054,170,170,11508,,41782
95FF,Banbridge,Local Authorities,LA,48339,,612,1.07,48045,294,294,18303,,45183
95GG,Belfast,Local Authorities,LA,280962,,2041,25.68,276141,4821,4821,120595,,10942
95HH,Carrickfergus,Local Authorities,LA,39114,,340,4.83,38785,329,329,16200,,8098
95II,Castlereagh,Local Authorities,LA,67242,,702,7.91,66502,740,740,27733,,8497
95JJ,Coleraine,Local Authorities,LA,59067,,858,1.22,57761,1306,1306,23508,,48299
95KK,Cookstown,Local Authorities,LA,37013,,496,0.72,36711,302,302,12904,,51312
95LL,Craigavon,Local Authorities,LA,93023,,1019,3.34,92513,510,510,35931,,27874
95MM,Derry,Local Authorities,LA,107877,,1560,2.84,106500,1377,1377,40779,,37947
95NN,Down,Local Authorities,LA,69731,,996,1.08,68714,1017,1017,26206,,64409
95OO,Dungannon,Local Authorities,LA,57852,,857,0.75,57462,390,390,20270,,77132
95PP,Fermanagh,Local Authorities,LA,61805,,1260,0.36,61064,741,741,23069,,171768
95QQ,Larne,Local Authorities,LA,32180,,351,0.96,31914,266,266,13297,,33495
95RR,Limavady,Local Authorities,LA,33536,,415,0.57,32850,686,686,12098,,58526
95SS,Lisburn,Local Authorities,LA,120165,,1238,2.72,118525,1640,1640,45723,,44197
95TT,Magherafelt,Local Authorities,LA,45038,,616,0.8,44822,216,216,15037,,56340
95UU,Moyle,Local Authorities,LA,17050,,277,0.35,16907,143,143,6608,,49385
95VV,Newry and Mourne,Local Authorities,LA,99480,,1501,1.11,98922,558,558,35031,,89673
95WW,Newtownabbey,Local Authorities,LA,85139,,668,5.67,83141,1998,1998,33971,,15017
95XX,North Down,Local Authorities,LA,78937,,1013,9.78,77475,1462,1462,33255,,8070
95YY,Omagh,Local Authorities,LA,51356,,985,0.45,50872,484,484,18443,,112906
95ZZ,Strabane,Local Authorities,LA,39843,,581,0.46,39595,248,248,14817,,85798
E06000001,Hartlepool,Local Authorities,LA,92028,,780,9.804701,91091,937,937,40434,,9386.11
E06000002,Middlesbrough,Local Authorities,LA,138412,,1040,25.69147,136156,2256,2256,57203,,5387.47
E06000003,Redcar and Cleveland,Local Authorities,LA,135177,,1096,5.519792,133929,1248,1248,59605,,24489.51
E06000004,Stockton-on-Tees,Local Authorities,LA,191610,,1991,9.395844,187959,3651,3651,79159,,20393.06
